staticmethod fd
classmethod cw
memoryview ei
issubclass ea
isinstance dz
frozenset do

property es
callable cv
nonlocal ce
continue bo

copyright db
bytearray ct
enumerate dh

finally bu
compile cz
complex da
delattr dd
credits dc
getattr dp
globals dq
license ed
reverse ex
hasattr dr
setattr fa

return ci
divmod dg
random bf
assert bl
except bt
global bw
import ca
lambda cd
format dn
locals ef
object em
sorted fc

raise ch
numpy bc
False bh
True bj
break bm
class bn
yield cm
while ck
ascii cq
bytes cu
filter dl
round ew
float dm
input dx
print er
range eu
slice fb
super fg
tuple fh

math bg
None bi
elif br
else bs
from bx
pass cg
with cl
bool cs
dict de
eval di
exec dj
exit dk
help dt
iter eb
list ee
next el
open eo
quit et
repr ev
type fi
vars fj

and ba
sys bd
def bp
bel bq
for bv
not cf
hex du
int dw
len ec
map eg
max eh
min ej
oct en
ord ep
pow eq
set ez
str fe
sum ff
zip fl
try cj
abs cn
all co
any cp
bin cr
chr cx
dir df

id dv
or bb
os be
as bk
if bz


in cb
is cc
