auto ga
case gc
char gd
const ge
default gg
double gh
do gi
enum gk
extern gl
goto go
long gr
register gs
short gu
signed gv
sizeof gx
static gw
struct gz
switch ha
typedef hb
union hc
unsigned hd
void he
volatile hf
isalnum hh
isalpha hi
isdigit hj
isspace hk
ceil hl
exp hm
floor hn
log10 ho
log hp
pow hq
sqrt hr
fclose hs
feof ht
getc hu
gets hv
fgetc jg
fgets jh
fopen ji
fprintf jj
sprintf jl
fputc jm
getchar jn
printf jo
puts jp
sscanf jq
scanf jr
atof hx
atoi hw
atol hz
getenv ib
free ic
malloc id
rand ie
strchr if
strcmp ig
strcpy ih
strlen ii
strncmp ij
strstr ik
strtok il
scandir im
sizeof in
typeof io
locale ja
stdio jc
stdlib jd
string je
time jf
main od
getch oe
conio of
clrscr og
