:: tg
&& ob
|| oc
<< js
/* ir
*/ is
// jt
++ it
-- iu
; ip
: aa
& iq
( ad
) ae
[ af
] ag
" ah
' ai
* aj
- ak
+ al
% am
! an
. ao
/ ap
# aq
= ar
> as
< at
, au
} aw
{ az
and ba
or bb
numpy bc
sys bd
os be
random bf
math bg
False bh
None bi
True bj
as bk
assert bl
break bm
class bn
continue bo
def bp
bel bq
elif br
else bs
except bt
finally bu
for bv
from bx
global bw
if bz
import ca
in cb
is cc
lambda cd
nonlocal ce
not cf
pass cg
raise ch
return ci
try cj
while ck
with cl
yield cm
abs cn
all co
any cp
ascii cq
bin cr
bool cs
bytearray ct
bytes cu
callable cv
chr cx
classmethod cw
compile cz
complex da
copyright db
credits dc
delattr dd
dict de
dir df
divmod dg
enumerate dh
eval di
exec dj
exit dk
filter dl
float dm
format dn
frozenset do
getattr dp
globals dq
hasattr dr
hash ds
help dt
hex du
id dv
input dx
int dw
isinstance dz
issubclass ea
iter eb
len ec
license ed
list ee
locals ef
map eg
max eh
memoryview ei
min ej
next el
object em
oct en
open eo
ord ep
pow eq
print er
property es
quit et
range eu
repr ev
reverse ex
round ew
set ez
setattr fa
slice fb
sorted fc
staticmethod fd
str fe
sum ff
super fg
tuple fh
type fi
vars fj
zip fl
- c
auto ga
case gc
char gd
const ge
default gg
double gh
do gi
enum gk
extern gl
goto go
long gr
register gs
short gu
signed gv
sizeof gx
static gw
struct gz
switch ha
typedef hb
union hc
unsigned hd
void he
volatile hf
isalnum hh
isalpha hi
isdigit hj
isspace hk
ceil hl
exp hm
floor hn
log10 ho
log hp
pow hq
sqrt hr
fclose hs
feof ht
getc hu
gets hv
fgetc jg
fgets jh
fopen ji
fprintf jj
sprintf jl
fputc jm
getchar jn
printf jo
puts jp
sscanf jq
scanf jr
atof hx
atoi hw
atol hz
getenv ib
free ic
malloc id
rand ie
strchr if
strcmp ig
strcpy  ih
strlen ii
strncmp ij
strstr ik
strtok il
scandir im
sizeof in
typeof io
locale ja
stdio jc
stdlib jd
string je
time jf
main od
getch oe
conio of
clrscr og
- cpp
alignas ka
alignof kb
and_eq kd
asm ke
auto kf
bitand kg
bitor kh
bool ki
case kk
catch kl
char km
char16_t kn
char32_t ko
compl kq
const kr
constexpr ks
decltype ku
default kv
delete kx
do kw
double kz 
dynamic_cast la
enum lc
explicit ld
export le
extern lg
false lh
friend ll
goto lm
inline lo
long lq
mutable lr
namespace ls
new lt
noexcept lu
not lv
not_eq lx
nullptr lw
operator lz
or_eq mb
private mc
protected md
public me
register mf
short mh
signed mj
sizeof mj
static mk
static_assert ml
static_cast mm
struct mn
switch mo
template mp
this mq
throw mr
true ms
typedef mu
typeid mv
typename mx
union mw
unsigned mz
using na
virtual nb
void nc
volatile nd
wchar_t ne
xor ng
xor_eqstring nh
include ni
iostream nj
main nk
cout nm
cin nn
cerr no
open np
ofstream nq
close nr
ios ns
std nt
vector nu
string nv
algorithm nx
map nw
getline nz
endl iv
stdlib jd
system oa
- java
io pa
swing pb
abstract pd
boolean pf
byte ph
case pi
catch pj
char pk
const pm
default po
do pp
double pq
enum ps
extends pt
goto qb
implements qd
false pu
final pv
import qe
instanceof qf
interface gh
long qi
native gj
new qk
null ql
package qm
private qn
protected qo
public qp
short qr
static qs
strictfp qt
super qu
switch qv
synchronized qx
this qz
throw ra
throws rb
transient rc
true rd
void rf
volatile rg
whileisDigit rh
isLetter ri
toLowerCase rj
toUpperCase rk
trim rl
replace rm
split rn
valueOf ro
println rq
System rr
out rs
pow rt
exp ru
log rv
sqrt rx
max rz
min sa
floor sb
ceil sc
round sd
nextLine se
nextInt sf
nextDouble sg
hasNext sh
hasNextLine si
hasNextInt sj
hasNextDouble sk
close sl
Random sm
compareTo sn
length so
equals sq
equalsIgnoreCase sr
startsWith ss
contains st
indexOf su
lastIndexOf sv
charAt sx
substring sw
awt sz
args ta
String tb
Main tc
main td
Scanner te
util tf
